item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
Mobile Abo Voice und Data,Arbeitsplatz Software Schale 2,2200,0.1515986769570011,7910,0.5450661521499449,37637,2.5935088202866594,0.27812895069532234,0.05845311794245025,0.10724041056647761
Multifunktionsgeräte,UCC Benutzertelefonie,184,0.012679162072767364,5846,0.40283902976846747,4422,0.3047133406835722,0.03147451248717072,0.041610131162369966,0.1032922038023115
Verzeichnis und Adressdienste,Internet,152,0.010474090407938258,6045,0.4165518191841235,3589,0.24731256890848952,0.025144747725392887,0.042351629980495964,0.10167193619139081
Multifunktionsgeräte,Multifunktionsgeräte,230,0.015848952590959205,5846,0.40283902976846747,5846,0.40283902976846747,0.03934314060896339,0.03934314060896339,0.0976646692639885
Druckgeräte WTO,Arbeitsplatz Software Schale 2,1051,0.07242282249173099,4213,0.2903114663726571,37637,2.5935088202866594,0.24946593876097797,0.02792464861705237,0.09618858313094328
Speicherplatzerweiterungen High - End,Multifunktionsgeräte,160,0.011025358324145534,4510,0.31077728776185226,5846,0.40283902976846747,0.03547671840354767,0.027369141293191925,0.0880667357975169
Arbeitsplatz Software Schale 2,Arbeitsplatz Software Schale 2,8314,0.5729051819184123,37637,2.5935088202866594,37637,2.5935088202866594,0.22089964662433242,0.22089964662433242,0.08517404872365789
Mobile Abo  Data,Arbeitsplatz Software Schale 2,412,0.028390297684674753,1923,0.13251102535832415,37637,2.5935088202866594,0.2142485699427977,0.010946674814677046,0.08260953973509791
Druckgeräte WTO,Mobile Abo Voice und Data,188,0.012954796030871003,4213,0.2903114663726571,7910,0.5450661521499449,0.04462378352717779,0.023767383059418456,0.08186856467084754
UCC Benutzertelefonie,Arbeitsplatz Software Schale 2,920,0.06339581036383682,4422,0.3047133406835722,37637,2.5935088202866594,0.20805065581184984,0.0244440311395701,0.08021976026626895
Notebook,Mobile Abo Voice und Data,268,0.01846747519294377,6135,0.42275358324145534,7910,0.5450661521499449,0.04368378158109209,0.0338811630847029,0.08014399978569006
UCC Verbindungen,Arbeitsplatz Software Schale 2,393,0.02708103638368247,1925,0.13264884233737598,37637,2.5935088202866594,0.20415584415584415,0.010441852432446795,0.07871800649333395
Mobile Nutzung,Arbeitsplatz Software Schale 2,412,0.028390297684674753,2030,0.13988423373759648,37637,2.5935088202866594,0.20295566502463053,0.010946674814677046,0.07825524379832183
Druckgeräte WTO,Arbeitsplatz Software Schale 3,230,0.015848952590959205,4213,0.2903114663726571,10767,0.7419377067254685,0.05459292665558984,0.02136156775332033,0.07358155025781739
Zertifikate Klasse B,Mobile Abo Voice und Data,152,0.010474090407938258,3792,0.2613009922822492,7910,0.5450661521499449,0.040084388185654005,0.019216182048040452,0.07354040977878773
SharePoint Site,Arbeitsplatz Software Schale 2,491,0.03383406835722161,2580,0.17778390297684674,37637,2.5935088202866594,0.19031007751937984,0.013045673140792304,0.07337938318572788
Mobile Abo Voice und Data,UCC Benutzertelefonie,176,0.012127894156560088,7910,0.5450661521499449,4422,0.3047133406835722,0.022250316055625788,0.03980099502487562,0.07302048543628255
Zertifikate Klasse C,Multifunktionsgeräte,236,0.016262403528114665,8033,0.5535418963616318,5846,0.40283902976846747,0.029378812398854724,0.04036948340745809,0.07292940908863835
Notebook,Arbeitsplatz Software Schale 2,1159,0.07986493936052921,6135,0.42275358324145534,37637,2.5935088202866594,0.1889160554197229,0.03079416531604538,0.07284187890243693
Zertifikate Klasse A,Arbeitsplatz Software Schale 2,272,0.018743109151047408,1446,0.09964167585446528,37637,2.5935088202866594,0.18810511756569845,0.00722693094561203,0.07252919908901921
Notebook,Notebook,186,0.012816979051819184,6135,0.42275358324145534,6135,0.42275358324145534,0.030317848410757946,0.030317848410757946,0.07171517785442857
UCC Gruppen-Zusatzservices,Arbeitsplatz Software Schale 2,596,0.04106945975744212,3218,0.22174751929437705,37637,2.5935088202866594,0.18520820385332507,0.015835481042591068,0.07141221283097626
Zertifikate Klasse C,Mobile Abo Voice und Data,305,0.021017089305402425,8033,0.5535418963616318,7910,0.5450661521499449,0.037968380430723266,0.038558786346396964,0.06965829795330669
BWL LO: Logistik,BWL LO: Logistik,324,0.022326350606394707,8301,0.5720093715545755,8301,0.5720093715545755,0.039031441994940366,0.039031441994940366,0.06823566874238941
Verzeichnis und Adressdienste,Arbeitsplatz Software Schale 2,1052,0.07249173098125689,6045,0.4165518191841235,37637,2.5935088202866594,0.17402812241521917,0.027951218216117117,0.06710141914843533
Smarttablet Sync,Arbeitsplatz Software Schale 2,245,0.01688257993384785,1434,0.09881477398015436,37637,2.5935088202866594,0.1708507670850767,0.006509551770863778,0.06587630076623092
Multifunktionsgeräte,Arbeitsplatz Software Schale 3,278,0.019156560088202868,5846,0.40283902976846747,10767,0.7419377067254685,0.047553882996920975,0.02581963406705675,0.06409417201182477
Arbeitsplatz Software Schale 2,Secure Messaging Extern,784,0.05402425578831312,37637,2.5935088202866594,4753,0.3275220507166483,0.02083056566676409,0.16494845360824742,0.06360049841280885
Arbeitsplatz Software Schale 2,Arbeitsplatz Software Schale 3,1767,0.12176130099228225,37637,2.5935088202866594,10767,0.7419377067254685,0.04694848154741345,0.16411256617442185,0.06327819858977096
Speicherplatzerweiterungen High - End,Arbeitsplatz Software Schale 2,728,0.050165380374862185,4510,0.31077728776185226,37637,2.5935088202866594,0.16141906873614192,0.01934266811913808,0.062239645176259836
Speicherplatzerweiterungen High - End,Mobile Abo Voice und Data,152,0.010474090407938258,4510,0.31077728776185226,7910,0.5450661521499449,0.033702882483370285,0.019216182048040452,0.06183264609338427
Verzeichnis und Adressdienste,Zertifikate Klasse C,175,0.012058985667034179,6045,0.4165518191841235,8033,0.5535418963616318,0.02894954507857734,0.021785136312710073,0.05229874245989224
Remote Access,Arbeitsplatz Software Schale 2,219,0.0150909592061742,1625,0.11197629547960308,37637,2.5935088202866594,0.13476923076923078,0.005818742195180275,0.05196405337628071
Kopiergebühren,Arbeitsplatz Software Schale 2,245,0.01688257993384785,1840,0.12679162072767364,37637,2.5935088202866594,0.13315217391304351,0.006509551770863778,0.051340551792812585
Zertifikate Klasse C,Arbeitsplatz Software Schale 2,912,0.06284454244762955,8033,0.5535418963616318,37637,2.5935088202866594,0.11353168181252334,0.0242314743470521,0.04377532126533301
Mobile VDI,Arbeitsplatz Software Schale 2,272,0.018743109151047408,2397,0.1651736493936053,37637,2.5935088202866594,0.11347517730496454,0.00722693094561203,0.043753534369095445
Zertifikate Klasse B,Arbeitsplatz Software Schale 2,412,0.028390297684674753,3792,0.2613009922822492,37637,2.5935088202866594,0.10864978902953587,0.010946674814677046,0.04189297070427039
Betrieb Fachanwendung,Betrieb Fachanwendung,683,0.04706449834619625,15840,1.091510474090408,15840,1.091510474090408,0.04311868686868686,0.04311868686868686,0.039503685848382805
VIP-Service,Arbeitsplatz Software Schale 2,228,0.015711135611907387,2254,0.15531973539140023,37637,2.5935088202866594,0.10115350488021295,0.006057868586763025,0.03900256829241572
LRA-Officer Zertifikat,Arbeitsplatz Software Schale 2,272,0.018743109151047408,2760,0.19018743109151048,37637,2.5935088202866594,0.09855072463768115,0.00722693094561203,0.037998993435768756
Druckgeräte,Arbeitsplatz Software Schale 2,219,0.0150909592061742,2274,0.15669790518191842,37637,2.5935088202866594,0.0963060686015831,0.005818742195180275,0.037133503402135504
BWL FI: Finanzwesen/Controlling,BWL FI: Finanzwesen/Controlling,372,0.025633958103638367,12473,0.8594955898566703,12473,0.8594955898566703,0.029824420748817446,0.029824420748817446,0.03469991132100047
Spezialgeräte,Arbeitsplatz Software Schale 2,228,0.015711135611907387,2586,0.1781973539140022,37637,2.5935088202866594,0.08816705336426914,0.006057868586763025,0.033995278008934655
Notebook,Arbeitsplatz Software Schale 3,153,0.010542998897464167,6135,0.42275358324145534,10767,0.7419377067254685,0.02493887530562347,0.014210086375034828,0.03361316601051433
Betrieb Fachanwendung,Arbeitsplatz Software Schale 2,272,0.018743109151047408,15840,1.091510474090408,37637,2.5935088202866594,0.017171717171717168,0.00722693094561203,0.006621036735020314
