Marktleistung,Verrechnungsbetrag,Periode,year
Secure Messaging Extern,492.0,2021.01,2018
Secure Messaging Extern,9.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,25.0,2021.01,2018
Arbeitsplatz Software Schale 3,3498.0,2021.01,2018
Arbeitsplatz Software Schale 3,238800.0,2021.01,2018
Internet,56.0,2021.01,2018
Internet,12.0,2021.01,2018
Internet,35.0,2021.01,2018
RAS-Wartung,90.0,2021.01,2018
Arbeitsplatz Software Schale 2,63.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,10.0,2021.01,2018
Arbeitsplatz Software Schale 2,679.0,2021.01,2018
Arbeitsplatz Software Schale 2,115.0,2021.01,2018
Arbeitsplatz Software Schale 2,225.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,5054.0,2021.01,2018
Arbeitsplatz Software Schale 2,40.0,2021.01,2018
Arbeitsplatz Software Schale 3,50.0,2021.01,2018
Arbeitsplatz Software Schale 3,775.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,156.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,3.0,2021.01,2018
Internet,144.0,2021.01,2018
Internet,418.0,2021.01,2018
Internet,0.0,2021.01,2018
Internet,24.0,2021.01,2018
Internet,38.0,2021.01,2018
Arbeitsplatz Software Schale 2,346500.0,2021.01,2018
Arbeitsplatz Software Schale 2,10708.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,12103.0,2021.01,2018
Arbeitsplatz Software Schale 2,117000.0,2021.01,2018
Arbeitsplatz Software Schale 2,117755.0,2021.01,2018
Arbeitsplatz Software Schale 2,310982.0,2021.01,2018
Arbeitsplatz Software Schale 2,9545.0,2021.01,2018
Arbeitsplatz Software Schale 2,1064.0,2021.01,2018
Arbeitsplatz Software Schale 2,4788.0,2021.01,2018
Arbeitsplatz Software Schale 2,3192.0,2021.01,2018
Arbeitsplatz Software Schale 2,35325.0,2021.01,2018
Arbeitsplatz Software Schale 2,75.0,2021.01,2018
Arbeitsplatz Software Schale 2,464.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,3325.0,2021.01,2018
Arbeitsplatz Software Schale 2,420.0,2021.01,2018
Arbeitsplatz Software Schale 2,1729.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,12.0,2021.01,2018
Secure Messaging Extern,205.0,2021.01,2018
Secure Messaging Extern,6.0,2021.01,2018
Arbeitsplatz Software Schale 3,525.0,2021.01,2018
Arbeitsplatz Software Schale 3,575.0,2021.01,2018
Arbeitsplatz Software Schale 3,325.0,2021.01,2018
Arbeitsplatz Software Schale 3,263074.0,2021.01,2018
Arbeitsplatz Software Schale 3,4248.0,2021.01,2018
Arbeitsplatz Software Schale 3,156000.0,2021.01,2018
Arbeitsplatz Software Schale 3,459900.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,324.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Internet,0.0,2021.01,2018
Internet,6.0,2021.01,2018
Internet,38.0,2021.01,2018
RAS-Wartung,177000.0,2021.01,2018
Arbeitsplatz Software Schale 2,770.0,2021.01,2018
Arbeitsplatz Software Schale 2,10708.0,2021.01,2018
Arbeitsplatz Software Schale 2,5453.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,175.0,2021.01,2018
Arbeitsplatz Software Schale 2,32115.0,2021.01,2018
Arbeitsplatz Software Schale 2,3395.0,2021.01,2018
Arbeitsplatz Software Schale 2,230.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,5719.0,2021.01,2018
Arbeitsplatz Software Schale 2,23175.0,2021.01,2018
Arbeitsplatz Software Schale 2,75.0,2021.01,2018
Arbeitsplatz Software Schale 2,492.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,32186.0,2021.01,2018
Arbeitsplatz Software Schale 2,160.0,2021.01,2018
Arbeitsplatz Software Schale 2,931.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,75.0,2021.01,2018
Arbeitsplatz Software Schale 3,225.0,2021.01,2018
Arbeitsplatz Software Schale 3,250.0,2021.01,2018
Arbeitsplatz Software Schale 3,525.0,2021.01,2018
Arbeitsplatz Software Schale 3,9328.0,2021.01,2018
Arbeitsplatz Software Schale 3,1866.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
